Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE,WRITE_SIZE,SQ_WAVES,SQ_INSTS_VALU,GRBM_GUI_ACTIVE
430,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,643,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,672.6875000000,0.0000000000,628,159120,26257
431,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1184,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98669.0625000000,93731.6875000000,98596,28716480,320433
432,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1189,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36569
433,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,649,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,650.8750000000,0.0000000000,628,177216,26161
434,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,649,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,676.3125000000,0.0000000000,628,159120,26233
435,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1195,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98667.0625000000,93725.7500000000,98596,28716480,324801
436,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1200,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36545
437,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,655,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,650.8750000000,0.0000000000,628,177216,27492
438,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,655,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,669.2500000000,0.0000000000,628,159120,26380
439,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1206,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98663.1250000000,93709.1875000000,98596,28716480,325652
440,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1211,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,37788
441,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,661,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,653.8125000000,0.0000000000,628,177216,25941
442,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,661,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,674.8125000000,0.0000000000,628,159120,25533
443,"kernel_phase3(int*, int, int) [clone .kd]",2,0,1217,927090,927090,6310144,256,8704,0,20,20,16,64,0x0,0x146ffd060e40,98676.1250000000,93719.6250000000,98596,28716480,325524
444,"kernel_phase1(int*, int, int) [clone .kd]",2,0,1222,927090,927090,256,256,4608,0,16,16,16,64,0x0,0x146ffd060d80,8.5625000000,0.0000000000,4,1112,36340
445,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,667,927090,927090,40192,256,8704,0,32,32,16,64,0x0,0x146ffd060dc0,650.9375000000,0.0000000000,628,177216,26792
446,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,667,927090,927090,40192,256,8704,0,28,28,16,64,0x0,0x146ffd060e00,669.2500000000,0.0000000000,628,159120,26760
