Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE,WRITE_SIZE,SQ_WAVES,SQ_INSTS_VALU,GRBM_GUI_ACTIVE
73,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,109,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,650.6250000000,0.0000000000,628,139776,25260
74,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,109,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,670.3125000000,0.0000000000,628,141024,23764
75,"kernel_phase3(int*, int, int) [clone .kd]",2,0,205,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98692.0625000000,93678.3125000000,98596,22778496,377649
76,"kernel_phase1(int*, int, int) [clone .kd]",2,0,210,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.4375000000,0.0000000000,4,1224,34481
77,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,115,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,665.5000000000,0.0000000000,628,139776,25697
78,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,115,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,682.3750000000,0.0000000000,628,141024,23708
79,"kernel_phase3(int*, int, int) [clone .kd]",2,0,216,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98678.7500000000,93683.4375000000,98596,22778496,376633
80,"kernel_phase1(int*, int, int) [clone .kd]",2,0,221,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,35385
81,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,121,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.9375000000,0.0000000000,628,139776,25241
82,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,121,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,671.9375000000,0.0000000000,628,141024,22505
83,"kernel_phase3(int*, int, int) [clone .kd]",2,0,227,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98686.1250000000,93681.8125000000,98596,22778496,378948
84,"kernel_phase1(int*, int, int) [clone .kd]",2,0,232,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,35804
85,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,127,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.8750000000,0.0000000000,628,139776,26260
86,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,127,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,668.5625000000,0.0000000000,628,141024,21700
87,"kernel_phase3(int*, int, int) [clone .kd]",2,0,238,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98683.5625000000,93694.6250000000,98596,22778496,375356
88,"kernel_phase1(int*, int, int) [clone .kd]",2,0,243,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,35277
89,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,133,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,655.9375000000,0.0000000000,628,139776,24540
90,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,133,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,665.0000000000,0.0000000000,628,141024,22876
91,"kernel_phase3(int*, int, int) [clone .kd]",2,0,249,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98684.2500000000,93690.6875000000,98596,22778496,376472
92,"kernel_phase1(int*, int, int) [clone .kd]",2,0,254,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34810
93,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,139,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.5000000000,0.0000000000,628,139776,24208
94,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,139,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,671.5000000000,0.0000000000,628,141024,22432
95,"kernel_phase3(int*, int, int) [clone .kd]",2,0,260,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98684.1250000000,93670.5625000000,98596,22778496,375436
96,"kernel_phase1(int*, int, int) [clone .kd]",2,0,265,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,36668
97,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,145,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,650.0000000000,0.0000000000,628,139776,25060
98,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,145,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,672.2500000000,0.0000000000,628,141024,22708
99,"kernel_phase3(int*, int, int) [clone .kd]",2,0,271,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98683.8125000000,93696.2500000000,98596,22778496,377785
100,"kernel_phase1(int*, int, int) [clone .kd]",2,0,276,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,36281
101,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,151,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,652.6250000000,0.0000000000,628,139776,25753
102,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,151,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,665.5625000000,0.0000000000,628,141024,21841
103,"kernel_phase3(int*, int, int) [clone .kd]",2,0,282,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98687.5625000000,93687.8125000000,98596,22778496,376372
104,"kernel_phase1(int*, int, int) [clone .kd]",2,0,287,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34244
105,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,157,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,654.2500000000,0.0000000000,628,139776,24756
106,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,157,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,670.0625000000,0.0000000000,628,141024,22692
107,"kernel_phase3(int*, int, int) [clone .kd]",2,0,293,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98674.8125000000,93694.8125000000,98596,22778496,375561
108,"kernel_phase1(int*, int, int) [clone .kd]",2,0,298,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,35617
109,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,163,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.2500000000,0.0000000000,628,139776,25649
110,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,163,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,671.5000000000,0.0000000000,628,141024,22320
111,"kernel_phase3(int*, int, int) [clone .kd]",2,0,304,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98682.3125000000,93691.0625000000,98596,22778496,377579
112,"kernel_phase1(int*, int, int) [clone .kd]",2,0,309,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,35464
113,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,169,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.1250000000,0.0000000000,628,139776,25312
114,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,169,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,667.8125000000,0.0000000000,628,141024,22256
115,"kernel_phase3(int*, int, int) [clone .kd]",2,0,315,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98685.5000000000,93682.4375000000,98596,22778496,377309
116,"kernel_phase1(int*, int, int) [clone .kd]",2,0,320,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34684
117,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,175,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,655.9375000000,0.0000000000,628,139776,25693
118,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,175,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,667.6250000000,0.0000000000,628,141024,23261
119,"kernel_phase3(int*, int, int) [clone .kd]",2,0,326,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98691.7500000000,93701.6875000000,98596,22778496,377088
120,"kernel_phase1(int*, int, int) [clone .kd]",2,0,331,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,35352
121,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,181,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.1250000000,0.0000000000,628,139776,24656
122,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,181,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,665.8750000000,0.0000000000,628,141024,22408
123,"kernel_phase3(int*, int, int) [clone .kd]",2,0,337,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98690.6250000000,93702.5000000000,98596,22778496,376276
124,"kernel_phase1(int*, int, int) [clone .kd]",2,0,342,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34661
125,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,187,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.3125000000,0.0000000000,628,139776,25058
126,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,187,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,666.8125000000,0.0000000000,628,141024,22188
127,"kernel_phase3(int*, int, int) [clone .kd]",2,0,348,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98692.9375000000,93688.8750000000,98596,22778496,377517
128,"kernel_phase1(int*, int, int) [clone .kd]",2,0,353,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34412
129,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,193,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,658.3125000000,0.0000000000,628,139776,24892
130,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,193,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,680.1875000000,0.0000000000,628,141024,22861
131,"kernel_phase3(int*, int, int) [clone .kd]",2,0,359,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98684.1250000000,93678.5000000000,98596,22778496,375707
132,"kernel_phase1(int*, int, int) [clone .kd]",2,0,364,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34896
133,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,199,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.0625000000,0.0000000000,628,139776,25016
134,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,199,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,666.3125000000,0.0000000000,628,141024,23832
135,"kernel_phase3(int*, int, int) [clone .kd]",2,0,370,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98675.9375000000,93686.0000000000,98596,22778496,375732
136,"kernel_phase1(int*, int, int) [clone .kd]",2,0,375,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34996
137,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,205,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,653.1250000000,0.0000000000,628,139776,24084
138,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,205,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,672.7500000000,0.0000000000,628,141024,22692
139,"kernel_phase3(int*, int, int) [clone .kd]",2,0,381,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98684.5000000000,93689.6875000000,98596,22778496,376113
140,"kernel_phase1(int*, int, int) [clone .kd]",2,0,386,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,34249
141,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,211,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,656.3750000000,0.0000000000,628,139776,25369
142,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,211,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,669.5625000000,0.0000000000,628,141024,22953
143,"kernel_phase3(int*, int, int) [clone .kd]",2,0,392,926980,926980,6310144,256,8192,0,36,36,16,64,0x0,0x14d162814e40,98694.1875000000,93686.3750000000,98596,22778496,376625
144,"kernel_phase1(int*, int, int) [clone .kd]",2,0,397,926980,926980,256,256,4096,0,20,20,16,64,0x0,0x14d162814d80,8.3750000000,0.0000000000,4,1224,33876
145,"kernel_phase2_row(int*, int, int) [clone .kd]",2,1,217,926980,926980,40192,256,8192,0,36,36,16,64,0x0,0x14d162814dc0,648.4375000000,0.0000000000,628,139776,25337
146,"kernel_phase2_col(int*, int, int) [clone .kd]",2,2,217,926980,926980,40192,256,8192,0,32,32,16,64,0x0,0x14d162814e00,672.6875000000,0.0000000000,628,141024,22929
