Version,MemoryType,BlockFactor,Coarsening,Workload,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p14k1,5915.549,4225.252
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p15k1,7480.657,5372.389
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p16k1,8668.611,6487.892
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p17k1,10205.383,7830.993
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p18k1,11823.111,8834.695
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p19k1,13380.155,10820.296
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p20k1,15206.854,12647.221
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p21k1,17624.619,14586.518
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p22k1,20185.724,16875.362
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p23k1,22696.625,19192.820
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p24k1,27296.288,21841.145
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p25k1,29390.283,24759.054
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p26k1,31723.017,27416.520
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p27k1,37496.997,31017.599
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p28k1,39922.765,34562.564
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p29k1,45464.795,38218.752
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p30k1,48791.208,42669.775
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p31k1,55157.704,46954.565
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p32k1,59360.519,51883.735
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p33k1,64974.692,56853.717
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p34k1,72156.993,62037.769
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p35k1,78407.323,67269.784
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p36k1,85049.854,73479.061
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p37k1,90657.666,78001.484
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p38k1,95922.965,85954.278
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p39k1,102834.772,92852.346
hw3-2_sm_bf32_coarsen_1024,SharedMem,32,Yes,1024,p40k1,118584.449,99763.663
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p11k1,4080.455,2808.230
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p12k1,5203.292,3526.419
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p13k1,6040.958,4706.479
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p14k1,7355.341,5665.608
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p15k1,9471.064,7369.173
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p16k1,11404.539,9125.379
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p17k1,13409.389,11010.494
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p18k1,15552.183,12406.153
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p19k1,17789.925,15306.024
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p20k1,19135.682,16399.537
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p21k1,23204.044,20158.699
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p22k1,27109.061,23812.559
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p23k1,30628.584,26996.686
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p24k1,36275.360,30882.063
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p25k1,39213.269,34435.498
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p26k1,43229.069,38431.276
hw3-2_sm_bf32_noncoarsen_1024,SharedMem,32,No,1024,p27k1,48367.886,41574.597
