Version,BR,BC,Testcase,TotalTime_ms,IOTime_ms,CommuTime_ms,ComputeTime_ms
hw4_64_64,64,64,t21,605.668,539.230,13.916,52.522
hw4_64_64,64,64,t22,1154.219,936.117,24.213,193.889
hw4_64_64,64,64,t23,329.036,274.538,8.061,46.438
hw4_64_64,64,64,t24,342.481,178.282,5.894,158.305
hw4_64_64,64,64,t25,203.943,151.440,6.041,46.462
hw4_64_64,64,64,t26,137.631,43.211,2.661,91.759
hw4_64_64,64,64,t27,178.395,81.037,5.129,92.229
hw4_64_64,64,64,t28,311.542,32.460,3.776,275.307
hw4_64_64,64,64,t29,354.629,68.630,6.835,279.164
hw4_64_64,64,64,t30,944.135,29.719,4.518,909.898
hw4_64_8,64,8,t01,32.590,27.572,4.376,0.642
hw4_64_8,64,8,t02,20.051,16.609,2.223,1.220
hw4_64_8,64,8,t03,29.997,24.240,4.547,1.210
hw4_64_8,64,8,t04,15.665,11.227,2.085,2.353
hw4_64_8,64,8,t05,30.421,23.648,4.425,2.348
hw4_64_8,64,8,t06,17.320,10.594,2.096,4.629
hw4_64_8,64,8,t07,35.694,26.371,4.743,4.581
hw4_64_8,64,8,t08,37.455,23.534,4.861,9.060
hw4_64_8,64,8,t09,22.019,10.970,1.944,9.105
hw4_64_8,64,8,t10,46.650,23.930,4.683,18.037
hw4_64_8,64,8,t11,369.123,358.819,7.068,3.236
hw4_64_8,64,8,t12,1164.921,1128.211,28.159,8.551
hw4_64_8,64,8,t13,837.577,815.391,16.117,6.068
hw4_64_8,64,8,t14,286.852,274.214,5.542,7.096
hw4_64_8,64,8,t15,291.109,278.366,5.403,7.340
hw4_64_8,64,8,t16,432.805,407.259,11.756,13.790
hw4_64_8,64,8,t17,260.158,240.855,5.262,14.041
hw4_64_8,64,8,t18,355.654,327.307,10.113,18.234
hw4_64_8,64,8,t19,189.522,165.983,4.535,19.004
hw4_64_8,64,8,t20,244.248,199.933,8.349,35.966
hw4_64_8,64,8,t21,249.632,215.084,5.772,28.776
hw4_64_8,64,8,t22,1040.729,907.705,24.222,108.802
hw4_64_8,64,8,t23,160.203,119.391,4.151,36.661
hw4_64_8,64,8,t24,293.037,179.547,5.657,107.833
hw4_64_8,64,8,t25,197.655,156.849,4.848,35.957
hw4_64_8,64,8,t26,127.203,51.474,4.158,71.570
hw4_64_8,64,8,t27,155.611,78.148,5.610,71.853
hw4_64_8,64,8,t28,178.646,32.367,3.589,142.690
hw4_64_8,64,8,t29,181.577,29.274,3.525,148.778
hw4_64_8,64,8,t30,612.796,31.510,4.624,576.661
