ExeName,VersionID,Description,Testcase,TotalTime_ms,IOTime_ms,CommuTime_ms,ComputeTime_ms
hw4_3_block_tuning,3,block_tuning,t17,1193.142,337.291,104.235,751.616
hw4_3_block_tuning,3,block_tuning,t18,916.478,248.169,79.594,588.715
hw4_3_block_tuning,3,block_tuning,t19,1441.694,206.824,77.182,1157.688
hw4_3_block_tuning,3,block_tuning,t20,1008.268,148.773,51.606,807.889
hw4_3_block_tuning,3,block_tuning,t21,2455.174,397.694,127.713,1929.767
hw4_3_block_tuning,3,block_tuning,t22,4930.687,651.959,248.033,4030.694
hw4_3_block_tuning,3,block_tuning,t23,1724.605,134.151,52.450,1538.004
hw4_3_block_tuning,3,block_tuning,t24,3541.886,258.131,103.323,3180.431
hw4_3_block_tuning,3,block_tuning,t25,1950.938,91.165,33.196,1826.577
hw4_3_block_tuning,3,block_tuning,t26,1349.020,56.181,21.709,1271.130
hw4_3_block_tuning,3,block_tuning,t27,2512.022,55.330,21.867,2434.825
hw4_3_block_tuning,3,block_tuning,t28,2087.226,52.117,17.462,2017.648
hw4_3_block_tuning,3,block_tuning,t29,4034.517,60.765,18.499,3955.253
hw4_3_block_tuning,3,block_tuning,t30,4199.955,55.412,18.703,4125.840
hw4_4_coalesced,4,coalesced,t01,36.445,24.816,6.645,4.985
hw4_4_coalesced,4,coalesced,t02,53.202,40.511,6.587,6.103
hw4_4_coalesced,4,coalesced,t03,36.131,20.100,6.410,9.620
hw4_4_coalesced,4,coalesced,t04,39.731,23.674,6.302,9.756
hw4_4_coalesced,4,coalesced,t05,45.725,17.102,6.149,22.475
hw4_4_coalesced,4,coalesced,t06,47.428,21.855,6.451,19.122
hw4_4_coalesced,4,coalesced,t07,62.626,19.108,6.095,37.423
hw4_4_coalesced,4,coalesced,t08,69.465,18.250,6.084,45.131
hw4_4_coalesced,4,coalesced,t09,104.778,23.731,6.399,74.648
hw4_4_coalesced,4,coalesced,t10,115.983,19.905,6.280,89.797
hw4_4_coalesced,4,coalesced,t11,1232.850,816.512,216.194,200.144
hw4_4_coalesced,4,coalesced,t12,1523.706,922.046,311.273,290.387
hw4_4_coalesced,4,coalesced,t13,1130.808,540.897,202.685,387.227
hw4_4_coalesced,4,coalesced,t14,718.097,352.855,127.151,238.090
hw4_4_coalesced,4,coalesced,t15,945.676,347.078,127.122,471.476
hw4_4_coalesced,4,coalesced,t16,748.973,269.524,102.431,377.017
hw4_4_coalesced,4,coalesced,t17,1126.059,273.237,108.047,744.775
hw4_4_coalesced,4,coalesced,t18,840.991,199.610,77.581,563.800
hw4_4_coalesced,4,coalesced,t19,1392.024,199.524,77.345,1115.155
hw4_4_coalesced,4,coalesced,t20,949.987,144.625,54.839,750.523
hw4_4_coalesced,4,coalesced,t21,2347.861,340.084,128.072,1879.706
hw4_4_coalesced,4,coalesced,t22,4681.609,639.537,266.651,3775.420
hw4_4_coalesced,4,coalesced,t23,1694.845,154.011,55.092,1485.742
hw4_4_coalesced,4,coalesced,t24,3353.122,251.217,104.107,2997.799
hw4_4_coalesced,4,coalesced,t25,1898.916,84.971,31.850,1782.095
hw4_4_coalesced,4,coalesced,t26,1309.490,74.514,21.510,1213.466
hw4_4_coalesced,4,coalesced,t27,2456.433,58.089,22.827,2375.517
hw4_4_coalesced,4,coalesced,t28,2038.913,52.483,17.485,1968.945
hw4_4_coalesced,4,coalesced,t29,3922.433,45.420,17.517,3859.496
hw4_4_coalesced,4,coalesced,t30,3956.751,45.804,18.314,3892.634
hw4_5_padding,5,padding,t01,25.269,17.709,6.589,0.971
hw4_5_padding,5,padding,t02,25.430,18.127,6.057,1.246
hw4_5_padding,5,padding,t03,26.349,17.847,6.687,1.816
hw4_5_padding,5,padding,t04,24.536,16.155,6.359,2.022
