Version,UnrollFactor,Testcase,TotalTime_ms,ComputeTime_ms
hw3-2_unroll_8,8,p22k1,12973.563,9688.677
hw3-2_unroll_8,8,p23k1,14470.370,10717.643
hw3-2_unroll_8,8,p24k1,17765.535,12406.084
hw3-2_unroll_8,8,p25k1,18873.013,14164.586
hw3-2_unroll_8,8,p26k1,20387.246,15398.159
hw3-2_unroll_8,8,p27k1,23954.311,17381.372
hw3-2_unroll_8,8,p28k1,25369.145,19688.818
hw3-2_unroll_8,8,p29k1,28966.733,21296.120
hw3-2_unroll_8,8,p30k1,30535.739,24203.311
hw3-2_unroll_8,8,p31k1,35109.900,26959.170
hw3-2_unroll_8,8,p32k1,37814.251,29337.200
hw3-2_unroll_8,8,p33k1,40632.264,31627.473
hw3-2_unroll_8,8,p34k1,44963.309,35473.304
hw3-2_unroll_8,8,p35k1,57305.670,37643.156
hw3-2_unroll_8,8,p36k1,53726.018,40950.705
hw3-2_unroll_8,8,p37k1,60933.227,45532.024
hw3-2_unroll_8,8,p38k1,61787.056,49139.462
hw3-2_unroll_8,8,p39k1,66383.755,56129.935
hw3-2_unroll_8,8,p40k1,67210.341,56123.595
hw3-2_unroll_default,default,p11k1,2259.697,1170.653
hw3-2_unroll_default,default,p12k1,3159.400,1480.359
hw3-2_unroll_default,default,p13k1,3405.106,1956.216
hw3-2_unroll_default,default,p14k1,4442.851,2383.676
hw3-2_unroll_default,default,p15k1,5156.672,3019.004
hw3-2_unroll_default,default,p16k1,5880.961,3602.056
hw3-2_unroll_default,default,p17k1,7355.077,4477.614
hw3-2_unroll_default,default,p18k1,8008.138,4941.568
hw3-2_unroll_default,default,p19k1,8599.695,6156.429
hw3-2_unroll_default,default,p20k1,10749.225,7679.379
hw3-2_unroll_default,default,p21k1,11430.806,8258.277
hw3-2_unroll_default,default,p22k1,12647.397,9512.002
hw3-2_unroll_default,default,p23k1,14499.678,10764.693
hw3-2_unroll_default,default,p24k1,18156.066,12245.790
hw3-2_unroll_default,default,p25k1,20298.301,15142.112
hw3-2_unroll_default,default,p26k1,21525.213,17064.331
hw3-2_unroll_default,default,p27k1,25664.897,19091.444
hw3-2_unroll_default,default,p28k1,27386.477,21699.783
hw3-2_unroll_default,default,p29k1,31776.853,23595.420
hw3-2_unroll_default,default,p30k1,30113.887,23830.834
hw3-2_unroll_default,default,p31k1,35610.948,27764.863
hw3-2_unroll_default,default,p32k1,38916.531,31207.556
hw3-2_unroll_default,default,p33k1,43660.428,35127.881
hw3-2_unroll_default,default,p34k1,43615.412,34501.352
hw3-2_unroll_default,default,p35k1,50663.785,39277.633
hw3-2_unroll_default,default,p36k1,56357.566,44209.941
